epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.5736616253852844,0.6116198301315308,9.999999747378752e-05,0.6646912693977356,0.5968077182769775,0.6719091534614563,0.6592057943344116
1,0.6042749881744385,0.6613805294036865,9.999999747378752e-05,0.6360200643539429,0.6753406524658203,0.745644211769104,0.6053580045700073
2,0.6205437779426575,0.6844373345375061,9.999999747378752e-05,0.6188579797744751,0.7326059937477112,0.8187732696533203,0.5285400748252869
3,0.6267220973968506,0.694913923740387,9.999999747378752e-05,0.6094341278076172,0.7648257613182068,0.8440643548965454,0.5018050670623779
4,0.6330105066299438,0.7065927982330322,9.999999747378752e-05,0.5999415516853333,0.7592647671699524,0.8481670022010803,0.49571749567985535
5,0.6374732851982117,0.7124868631362915,9.999999747378752e-05,0.5932538509368896,0.7677972316741943,0.8713050484657288,0.47016358375549316
6,0.6426141262054443,0.719546914100647,9.999999747378752e-05,0.5880580544471741,0.7925881743431091,0.8767213225364685,0.44091537594795227
7,0.6444166302680969,0.7245113849639893,9.999999747378752e-05,0.5832123756408691,0.786390483379364,0.8782068490982056,0.47826796770095825
8,0.6478013396263123,0.7286370992660522,9.999999747378752e-05,0.5781676173210144,0.7871545553207397,0.8692538142204285,0.47299113869667053
9,0.6570572257041931,0.7424055337905884,4.999999873689376e-05,0.5638144612312317,0.8025639653205872,0.8872827291488647,0.4440896213054657
10,0.6577063798904419,0.7439752817153931,4.999999873689376e-05,0.5609984993934631,0.8014602661132812,0.8915217518806458,0.42770352959632874
11,0.6610679030418396,0.7471910119056702,4.999999873689376e-05,0.5571323037147522,0.8077004551887512,0.89569491147995,0.41801369190216064
12,0.6622560620307922,0.7502996921539307,4.999999873689376e-05,0.5538120269775391,0.8019272685050964,0.8917408585548401,0.44418466091156006
13,0.6637513637542725,0.7534787654876709,4.999999873689376e-05,0.5520886182785034,0.8099503517150879,0.9005057215690613,0.420847624540329
14,0.6672694087028503,0.7576900720596313,2.499999936844688e-05,0.5457507967948914,0.8161905407905579,0.901495635509491,0.4100283086299896
