epoch,accuracy,auc,learning_rate,loss,val_accuracy,val_auc,val_loss
0,0.6722654104232788,0.7622960209846497,9.999999747378752e-06,0.5396811366081238,0.8188648819923401,0.905268132686615,0.4048469066619873
1,0.6700398325920105,0.7627323269844055,9.999999747378752e-06,0.5395686626434326,0.8189073204994202,0.9056747555732727,0.40935105085372925
2,0.6703643798828125,0.7634269595146179,9.999999747378752e-06,0.5384020805358887,0.8166150450706482,0.9061810970306396,0.40608513355255127
3,0.6720625758171082,0.7651693820953369,1.9999999949504854e-06,0.5364127159118652,0.8217939734458923,0.9087300300598145,0.39741069078445435
4,0.6731637716293335,0.7662032246589661,1.9999999949504854e-06,0.5351856350898743,0.8224306702613831,0.9091407060623169,0.39590510725975037
5,0.672926127910614,0.7661569714546204,1.9999999949504854e-06,0.535047709941864,0.8234070539474487,0.9093612432479858,0.3979208469390869
6,0.674415647983551,0.7682110667228699,1.9999999949504854e-06,0.5332582592964172,0.8217939734458923,0.9091053605079651,0.3954680562019348
7,0.6740620732307434,0.7667548060417175,1.9999999949504854e-06,0.5336719155311584,0.8233646154403687,0.9098291397094727,0.39367416501045227
8,0.6742243766784668,0.7670538425445557,1.9999999949504854e-06,0.5342273712158203,0.8223457932472229,0.9098486304283142,0.3970874547958374
9,0.6740562915802002,0.7689342498779297,1.9999999949504854e-06,0.532808780670166,0.8227278590202332,0.9101091623306274,0.39243316650390625
